c,q,alpha_h,s,v,lam_max,N_half
1.20,0.221,0.1175280497,0.2345153409,0.06783216514,0.7176417806,2.0891
1.20,0.222,0.1180621139,0.2355760673,0.06813852314,0.7175949873,2.0887
1.20,0.223,0.1185962087,0.2366367874,0.06844487392,0.7175479566,2.0883
1.20,0.224,0.1191303345,0.2376975013,0.06875121746,0.7175006795,2.0879
1.20,0.225,0.1196644912,0.238758209,0.06905755375,0.7174531569,2.0875
1.20,0.226,0.120198679,0.2398189103,0.06936388276,0.7174053905,2.0871
1.20,0.227,0.1207328981,0.2408796053,0.06967020447,0.7173573808,2.0867
1.20,0.228,0.1212671486,0.2419402939,0.06997651886,0.7173091233,2.0862
1.20,0.229,0.1218014307,0.243000976,0.07028282592,0.7172606229,2.0858
1.20,0.230,0.1223357444,0.2440616518,0.07058912563,0.7172118749,2.0854
1.20,0.231,0.12287009,0.245122321,0.07089541797,0.7171628803,2.0850
1.20,0.232,0.1234044676,0.2461829837,0.07120170292,0.7171136386,2.0845
1.20,0.233,0.1239388773,0.2472436398,0.07150798046,0.7170641467,2.0841
1.20,0.234,0.1244733192,0.2483042893,0.07181425057,0.7170144121,2.0837
1.20,0.235,0.1250077935,0.2493649322,0.07212051324,0.7169644275,2.0832
1.20,0.236,0.1255423003,0.2504255683,0.07242676846,0.7169141923,2.0828
1.20,0.237,0.1260768399,0.2514861978,0.07273301619,0.7168637073,2.0823
1.20,0.238,0.1266114122,0.2525468205,0.07303925643,0.7168129750,2.0819
1.20,0.239,0.1271460175,0.2536074364,0.07334548916,0.7167619935,2.0815
1.20,0.240,0.1276806558,0.2546680454,0.07365171435,0.7167107573,2.0810
1.20,0.241,0.1282153274,0.2557286476,0.07395793201,0.7166592757,2.0806
1.20,0.242,0.1287500324,0.2567892429,0.0742641421,0.7166075392,2.0801
1.20,0.243,0.1292847709,0.2578498312,0.07457034461,0.7165555489,2.0797
1.20,0.244,0.129819543,0.2589104125,0.07487653953,0.7165033079,2.0792
1.20,0.245,0.1303543489,0.2599709867,0.07518272684,0.7164508167,2.0787
1.20,0.246,0.1308891888,0.261031554,0.07548890652,0.7163980705,2.0783
1.20,0.247,0.1314240627,0.262092114,0.07579507857,0.7163450700,2.0778
1.20,0.248,0.1319589709,0.263152667,0.07610124296,0.7162918171,2.0774
1.20,0.249,0.1324939134,0.2642132127,0.07640739967,0.7162383088,2.0769
1.20,0.250,0.1330288903,0.2652737513,0.0767135487,0.7161845442,2.0764
1.20,0.251,0.133563902,0.2663342825,0.07701969004,0.7161305245,2.0760
1.20,0.252,0.1340989484,0.2673948064,0.07732582365,0.7160762475,2.0755
1.20,0.253,0.1346340297,0.268455323,0.07763194954,0.7160217178,2.0750
1.20,0.254,0.135169146,0.2695158322,0.07793806768,0.7159669273,2.0745
1.20,0.255,0.1357042976,0.270576334,0.07824417807,0.7159118834,2.0741
1.20,0.256,0.1362394845,0.2716368283,0.07855028069,0.7158565780,2.0736
1.20,0.257,0.1367747069,0.272697315,0.07885637552,0.7158010168,2.0731
1.20,0.258,0.1373099648,0.2737577943,0.07916246256,0.7157451950,2.0726
1.20,0.259,0.1378452586,0.2748182659,0.07946854178,0.7156891159,2.0721
