beta,alpha_p,legacy_alpha_rounding,rho_difference,q_over_T_difference,fixed_point_residual
0.05,0.298863636363636,3.63636363687192e-07,1.22306816618956e-07,4.01286818219049e-07,3.96162898729153e-13
0.05,0.306818181818182,1.81818181788085e-07,-7.80562239288685e-08,-2.47175967749147e-07,4.12257680435101e-13
0.05,0.314772727272727,2.72727272765394e-07,4.13697567647198e-07,-2.07454602746404e-07,4.43377660134329e-13
0.05,0.322727272727273,2.72727272765394e-07,-4.69394182300853e-07,-4.21509026155009e-07,4.66719669685766e-13
0.05,0.330681818181818,1.81818181788085e-07,3.58953501089498e-07,1.92045264829632e-07,4.93108852800007e-13
0.05,0.338636363636364,3.63636363631681e-07,1.1547145417623e-07,-2.61733509310247e-07,5.19170692055082e-13
0.05,0.346590909090909,9.0909090921798e-08,1.28911247121444e-07,3.46187446875756e-07,5.45081140560915e-13
0.05,0.354545454545454,4.54545454497968e-07,-1.47507071834863e-07,1.69086328799528e-07,5.7086569189978e-13
0.05,0.3625,5.55111512312578e-17,-1.50176334312579e-07,3.84725802743402e-07,6.02286702262633e-13
0.05,0.370454545454545,4.54545454497968e-07,-2.16901282545923e-07,1.95558734428225e-07,6.31371071541212e-13
0.05,0.378409090909091,9.0909090921798e-08,4.20925422073282e-07,-1.71101362328452e-07,6.60879991909723e-13
0.05,0.386363636363636,3.63636363631681e-07,-3.76572382165818e-07,-4.62946661478059e-07,6.92112757648424e-13
0.05,0.394318181818182,1.81818181788085e-07,3.39703127960611e-07,-4.02580072056402e-07,7.22927289349784e-13
0.05,0.402272727272727,2.72727272765394e-07,-3.92889783373818e-07,3.12539318092497e-07,7.57088399158989e-13
0.05,0.410227272727273,2.72727272654372e-07,-4.78570207573803e-07,1.0108789277874e-08,7.90865643684961e-13
0.05,0.418181818181818,1.81818181899107e-07,-2.18664856443951e-07,4.2950509565598e-08,8.26072489259049e-13
0.05,0.426136363636364,3.63636363631681e-07,-2.60355909720289e-07,-2.11065276173317e-07,8.62277464092233e-13
0.05,0.434090909090909,9.0909090921798e-08,2.84163425567918e-07,-3.49144328948281e-07,8.9947916264032e-13
0.05,0.442045454545455,4.54545454497968e-07,-2.40074748081298e-07,5.6258823905031e-08,9.36025931322995e-13
0.05,0.45,5.55111512312578e-17,-2.72989808758339e-07,4.57217901927987e-07,9.74753091268779e-13
0.1,0.02,0,3.90581651465993e-08,-4.92332497331258e-07,4.95229302955364e-13
0.1,0.0220512820512821,2.82051282052276e-07,-5.40982780794508e-08,-2.39698546950287e-07,5.7401361555525e-13
0.1,0.0241025641025641,4.35897435896448e-07,-2.96991828130366e-07,-7.08863014415445e-08,6.58744631478844e-13
0.1,0.0261538461538462,1.53846153847642e-07,4.15204031156691e-07,6.33725569069987e-09,7.49881029707326e-13
0.1,0.0282051282051282,1.28205128204634e-07,1.96150215736601e-07,-1.5786755142716e-08,8.47119537691301e-13
0.1,0.0302564102564103,4.1025641025691e-07,1.6757239040821e-07,-1.45008419466519e-07,9.50321400730309e-13
0.1,0.0323076923076923,3.07692307695284e-07,4.6023813449203e-07,-3.89068361802275e-07,2.12151510996821e-13
0.1,0.0343589743589744,2.56410256360695e-08,2.13432745477249e-07,2.44303045571215e-07,2.35293720799992e-13
0.1,0.0364102564102564,2.56410256416206e-07,-4.23478959121759e-07,-2.52613778645161e-07,2.59965570701936e-13
0.1,0.0384615384615385,4.61538461539457e-07,-2.92033282445203e-07,1.12473169323196e-07,2.85643681360705e-13
0.1,0.0405128205128205,1.79487179487181e-07,-2.24413994942552e-07,3.31868143174652e-07,3.12665770765785e-13
0.1,0.0425641025641026,1.02564102565095e-07,-4.28451730760671e-08,3.97888334259522e-07,2.24565777808559e-13
0.1,0.0446153846153846,3.84615384610432e-07,4.40111364907736e-07,3.02864600443958e-07,4.12531999037403e-13
0.1,0.0466666666666667,3.33333333331354e-07,4.21127418936962e-07,3.91420648566954e-08,2.8063898225409e-13
0.1,0.0487179487179487,5.1282051272139e-08,1.07412420069508e-07,-4.0091908784165e-07,3.05711720938602e-13
0.1,0.0507692307692308,2.30769230766259e-07,-2.83974811665644e-07,-2.49429625807929e-08,3.33600067424349e-13
0.1,0.0528205128205128,4.87179487175526e-07,4.74255849813865e-07,1.59462736532695e-07,3.62401382501231e-13
0.1,0.0548717948717949,2.05128205123251e-07,-3.80649035736091e-07,1.44707405620725e-07,3.92606948086225e-13
0.1,0.0569230769230769,7.69230769220863e-08,3.99248752613879e-07,-7.67817649738323e-08,4.24079013494082e-13
0.1,0.058974358974359,3.58974358974362e-07,7.21042396900629e-08,4.87440903980396e-07,4.56867594419821e-13
0.1,0.061025641025641,3.58974358974362e-07,-9.34635350224866e-08,-1.70159728349328e-07,4.91022004924091e-13
0.1,0.0630769230769231,7.69230769220863e-08,1.81868537119101e-07,-5.70989188153348e-08,5.26254293497275e-13
