q,alpha_p,P,alpha_h,s_real,T,v_nom,v_real,lam_max,margin,N_half,eig_type
0.136,0.06805251467943207,0.004823839477435949,0.06724922944873228,0.13439710452751247,3.4555011548750536,0.03935753278743083,0.03889366505865691,0.7858652875619938,0.2141347124380062,2.876488748702305,real
0.137,0.06855368328452217,0.004895262799830464,0.06774460885094906,0.13538560731216373,3.455514711522398,0.039646770868367064,0.03917957775167938,0.77884474353351,0.22115525646649004,2.77321485600147,real
0.138,0.06905486913585855,0.0049672159744804795,0.06824000806028262,0.1363741163951194,3.455528358023315,0.039936005641389355,0.039465488997789684,0.7709117356439757,0.22908826435602425,2.6640920565152615,real
0.139,0.06955607236112635,0.005039699147120654,0.06873542722248077,0.1373626318205866,3.455542094169448,0.040225237086399655,0.03975139878989152,0.7615609013519997,0.23843909864800028,2.5447320473509514,real
0.14,0.07005729308805025,0.005112712464586203,0.0692308664833081,0.13835115363271594,3.455555919750858,0.04051446518338903,0.040037307120959834,0.7494921327415579,0.2505078672584421,2.403760864853022,real
0.141,0.07055853144439486,0.005186256074813802,0.06972632602700739,0.13933968195233673,3.4555698345571972,0.04080368991242452,0.04032321400623407,0.7227072240668838,0.2772927759331162,2.134395273793055,real
0.142,0.07105978755796497,0.005260330126842503,0.07022180592253643,0.14032821667017473,3.455583838373232,0.041092911253702534,0.04060911939449177,0.7208723205722136,0.2791276794277864,2.1178169526666455,complex
0.143,0.07156106155660581,0.00533493477081463,0.07071730635416788,0.1413167579069382,3.4555979309854576,0.04138212918747166,0.040895023301115906,0.7208474867202234,0.27915251327977664,2.117594058404861,complex
0.144,0.0720623535682035,0.005410070157976711,0.07121282746777684,0.14230530570663177,3.4556121121777346,0.041671343694084595,0.04118092571939466,0.7208224664050021,0.27917753359499786,2.1173695302366036,complex
0.145,0.07256366372068512,0.005485736440680391,0.07170836940926617,0.14329386011322204,3.455626381732339,0.041960554753986475,0.04146682664269609,0.7207972623607382,0.27920273763926184,2.117143393571065,complex
0.146,0.07306499214201925,0.005561933772383383,0.07220393232456446,0.14428242117063297,3.455640739430008,0.042249762347715006,0.0417527260644669,0.7207718730099894,0.27922812699001065,2.1169156351313827,complex
0.147,0.07356633896021608,0.005638662307650389,0.07269951635963302,0.1452709889227592,3.4556551850499093,0.042538966455901446,0.04203862397823731,0.7207462966109365,0.2792537033890635,2.116686240182743,complex
0.148,0.0740677043033278,0.00571592220215406,0.07319512166045032,0.14625956341343416,3.4556697183696317,0.042828167059271414,0.04232452037761257,0.720720536518201,0.279279463481799,2.116455239705334,complex
0.149,0.07456908829944894,0.005793713612675948,0.07369074837302951,0.14724814468646458,3.4556843391652143,0.043117364138645184,0.04261041525628326,0.7206945881667844,0.27930541183321556,2.116222593664707,complex
0.15,0.07507049107671654,0.005872036697107461,0.0741863966434129,0.14823673278561866,3.4556990472111604,0.04340655767493813,0.04289630860802233,0.7206684546576329,0.27933154534236715,2.115988330774438,complex
0.16,0.08008558003365901,0.006684545138073009,0.07914409717396699,0.15812299880876624,3.4558508757000164,0.04629829403955124,0.045755156832899185,0.7203968249425755,0.2796031750574245,2.113555985700465,complex
0.17,0.08510268838387339,0.007550402929470801,0.08410411434134854,0.16800999526420016,3.4560111694701288,0.04918965583842838,0.048613846143894045,0.7201063085700914,0.2798936914299086,2.1109596870842524,complex
